Membership No  Date Joined  Active  
    98080      2015-7-8     yes   
    24388      2016-4-15    no    
    62772      2015-11-13   yes   
    71373      2019-11-9    yes   
    33207      2018-12-24   no    
    95287      2018-4-9     no    
    36217      2019-1-2     yes   
    71118      2015-8-18    no    
    74998      2020-3-5     no    
    34233      2017-3-9     yes   
    52822      2016-8-18    no    
    10194      2019-3-22    yes   
    46463      2020-11-18   no    
    19078      2016-11-19   no    
    94551      2015-2-1     no    
    80217      2019-12-25   yes   
    66694      2016-6-15    yes   
    51163      2016-5-1     yes   
    50852      2016-3-25    no    
    15572      2015-1-20    yes   
