Membership No  Date Joined  Active  
    57601      2017-8-15    yes   
    50926      2020-6-4     no    
    77351      2020-5-6     no    
    11552      2019-8-2     no    
    95809      2016-9-11    yes   
    61080      2018-11-11   yes   
    45970      2020-10-6    yes   
    17351      2017-7-9     yes   
    30327      2019-4-25    no    
    29143      2015-10-23   no    
    55617      2015-9-16    no    
    28498      2015-4-5     yes   
    84065      2017-6-13    yes   
    66303      2015-5-25    yes   
    60532      2016-4-23    yes   
    44698      2019-12-18   yes   
    27180      2019-7-10    no    
    62994      2020-2-14    yes   
    91709      2016-11-8    yes   
    67037      2017-9-14    yes   
